employee_id,branch_id,first_name,last_name,role,hire_date,email,phone
1,832,Sarah,Garcia,Credit Analyst,2006-07-14,sarah.garcia1@bank.example.com,7514518732
2,557,Jennifer,Thomas,Underwriter,2009-05-28,jennifer.thomas2@bank.example.com,6041414977
3,446,Elizabeth,Moore,Branch Manager,2012-02-02,elizabeth.moore3@bank.example.com,8938922490
4,186,John,Hernandez,Loan Officer,2014-12-26,john.hernandez4@bank.example.com,8970010714
5,335,Elizabeth,Wilson,Operations,2019-10-29,elizabeth.wilson5@bank.example.com,6913569129
6,495,David,Davis,Operations,2023-01-27,david.davis6@bank.example.com,9368323516
7,104,Thomas,Johnson,Credit Analyst,2017-08-30,thomas.johnson7@bank.example.com,9708605445
8,436,Patricia,Lopez,Collections Officer,2015-09-24,patricia.lopez8@bank.example.com,6807417452
9,891,Elizabeth,Rodriguez,Underwriter,2016-02-20,elizabeth.rodriguez9@bank.example.com,6376335083
10,761,Jessica,Anderson,Underwriter,2008-08-24,jessica.anderson10@bank.example.com,8544724583
11,955,Richard,Jackson,Loan Officer,2011-12-18,richard.jackson11@bank.example.com,6964150979
12,140,Michael,Gonzalez,Credit Analyst,2018-07-24,michael.gonzalez12@bank.example.com,8472147805
13,645,William,Gonzalez,Operations,2014-08-24,william.gonzalez13@bank.example.com,7125251878
14,625,David,Johnson,Credit Analyst,2017-11-25,david.johnson14@bank.example.com,8516151802
15,115,James,Johnson,Loan Officer,2016-12-09,james.johnson15@bank.example.com,8557985356
16,492,Sarah,Hernandez,Branch Manager,2017-12-14,sarah.hernandez16@bank.example.com,6072850799
17,853,Sarah,Davis,Collections Officer,2020-11-25,sarah.davis17@bank.example.com,7461923754
18,722,Jennifer,Brown,Loan Officer,2017-02-13,jennifer.brown18@bank.example.com,8553147512
19,298,Susan,Taylor,Clerk,2008-10-26,susan.taylor19@bank.example.com,8794095703
20,284,Elizabeth,Gonzalez,Collections Officer,2016-07-17,elizabeth.gonzalez20@bank.example.com,9334951843
21,635,Thomas,Martinez,Operations,2023-10-30,thomas.martinez21@bank.example.com,8877593484
22,597,Karen,Anderson,Clerk,2014-10-29,karen.anderson22@bank.example.com,6733136159
23,844,Sarah,Lopez,Operations,2015-12-31,sarah.lopez23@bank.example.com,7411297956
24,773,Charles,Lopez,Credit Analyst,2007-11-02,charles.lopez24@bank.example.com,8226136218
25,53,Patricia,Jackson,Branch Manager,2008-03-21,patricia.jackson25@bank.example.com,6306905951
26,474,Joseph,Jackson,Collections Officer,2017-01-31,joseph.jackson26@bank.example.com,8616505725
27,307,John,Jones,Credit Analyst,2017-02-14,john.jones27@bank.example.com,6805441374
28,921,Karen,Anderson,Loan Officer,2015-05-14,karen.anderson28@bank.example.com,6061799010
29,542,David,Jackson,Clerk,2010-11-22,david.jackson29@bank.example.com,9974736832
30,809,David,Brown,Clerk,2022-10-30,david.brown30@bank.example.com,9976988715
31,509,Michael,Wilson,Operations,2024-08-07,michael.wilson31@bank.example.com,6686662033
32,536,Thomas,Gonzalez,Loan Officer,2006-11-11,thomas.gonzalez32@bank.example.com,6782651309
33,215,Michael,Smith,Credit Analyst,2016-04-11,michael.smith33@bank.example.com,7467671969
34,117,Susan,Moore,Operations,2006-11-03,susan.moore34@bank.example.com,8483016170
35,504,Linda,Martin,Operations,2017-01-31,linda.martin35@bank.example.com,6342679856
36,591,William,Hernandez,Loan Officer,2023-06-02,william.hernandez36@bank.example.com,6097340796
37,646,Karen,Jackson,Operations,2008-09-29,karen.jackson37@bank.example.com,9579402178
38,480,Patricia,Anderson,Credit Analyst,2006-01-20,patricia.anderson38@bank.example.com,7590883933
39,574,David,Jones,Operations,2014-07-16,david.jones39@bank.example.com,9971176895
40,213,Susan,Jackson,Branch Manager,2023-06-18,susan.jackson40@bank.example.com,9390097729
41,644,Barbara,Williams,Operations,2019-09-27,barbara.williams41@bank.example.com,7344672521
42,769,Thomas,Moore,Loan Officer,2021-12-04,thomas.moore42@bank.example.com,9100589930
43,788,Joseph,Smith,Operations,2020-01-02,joseph.smith43@bank.example.com,7367590223
44,690,Michael,Jones,Underwriter,2005-06-13,michael.jones44@bank.example.com,9204598793
45,590,Patricia,Brown,Branch Manager,2022-08-29,patricia.brown45@bank.example.com,8510378462
46,255,John,Smith,Operations,2016-12-12,john.smith46@bank.example.com,6539663597
47,315,Charles,Thomas,Branch Manager,2019-07-01,charles.thomas47@bank.example.com,9720041112
48,125,David,Lopez,Branch Manager,2021-03-24,david.lopez48@bank.example.com,7832198327
49,61,Mary,Jackson,Collections Officer,2016-11-29,mary.jackson49@bank.example.com,7409136244
50,877,Sarah,Brown,Credit Analyst,2021-02-01,sarah.brown50@bank.example.com,6528353758
51,336,Mary,Martinez,Loan Officer,2008-01-17,mary.martinez51@bank.example.com,7285642016
52,212,Michael,Anderson,Underwriter,2006-07-25,michael.anderson52@bank.example.com,9890282021
53,509,David,Taylor,Branch Manager,2013-07-03,david.taylor53@bank.example.com,9253549376
54,937,Richard,Jones,Underwriter,2006-10-09,richard.jones54@bank.example.com,6932149466
55,738,Barbara,Taylor,Credit Analyst,2013-12-29,barbara.taylor55@bank.example.com,8441044403
56,362,Linda,Miller,Branch Manager,2022-11-29,linda.miller56@bank.example.com,8657218780
57,642,Mary,Smith,Clerk,2017-03-19,mary.smith57@bank.example.com,7381936303
58,376,Susan,Williams,Collections Officer,2011-07-20,susan.williams58@bank.example.com,7934293327
59,667,Linda,Williams,Clerk,2024-04-22,linda.williams59@bank.example.com,7657144373
60,599,Richard,Davis,Underwriter,2017-09-28,richard.davis60@bank.example.com,6798595011
61,809,Barbara,Lopez,Loan Officer,2007-04-10,barbara.lopez61@bank.example.com,7631361095
