guarantor_id,loan_id,name,relation,phone,address,credit_score
1,982,Jennifer Brown,Spouse,6814316891,626 Bazar,325
2,699,James Hernandez,Father,9037839514,427 Bazar,795
3,731,Elizabeth Taylor,Business Partner,9280159652,127 Main Road,850
4,727,Charles Johnson,Mother,8905612644,647 MG Road,333
5,901,Linda Jackson,Mother,8072848659,367 Bazar,823
6,108,Michael Smith,Business Partner,6429069558,860 MG Road,391
7,471,James Martin,Employer,9025485339,292 Main Road,630
8,899,Joseph Williams,Employer,6280810381,212 Main Road,416
9,63,Jennifer Martin,Father,7871928177,121 Main Road,400
10,849,Sarah Hernandez,Mother,7785703036,79 MG Road,724
11,512,James Anderson,Friend,9742860901,603 Main Road,792
12,7,Jennifer Hernandez,Business Partner,8271402917,637 MG Road,432
13,487,Patricia Thomas,Friend,7042141885,977 MG Road,707
14,552,David Thomas,Employer,9288181853,889 MG Road,361
15,805,Barbara Jones,Employer,8548277597,298 MG Road,719
16,835,Sarah Wilson,Mother,6316370936,513 Main Road,680
17,130,David Wilson,Friend,7626958339,721 Main Road,749
18,625,James Hernandez,Business Partner,7291808579,945 MG Road,382
19,434,Richard Martin,Father,6371164933,934 Main Road,512
20,296,James Hernandez,Mother,9295881287,312 MG Road,734
21,985,Karen Martin,Friend,8842009384,967 Bazar,741
22,584,Joseph Wilson,Employer,7834942143,631 Bazar,310
23,53,Joseph Moore,Mother,8161197142,826 MG Road,709
24,842,James Rodriguez,Father,9279057165,250 Main Road,734
25,278,Mary Martinez,Employer,9759200955,841 Main Road,343
26,216,Sarah Davis,Spouse,6407803544,3 MG Road,371
27,897,Patricia Williams,Spouse,7530637836,497 Bazar,792
28,56,John Moore,Mother,6052724678,954 Bazar,783
29,520,Elizabeth Martin,Father,8164639022,186 Main Road,654
30,387,James Martin,Spouse,9952736540,237 MG Road,325
31,123,Michael Johnson,Mother,9389498898,844 MG Road,501
32,584,Linda Lopez,Spouse,6220938336,253 Main Road,761
33,84,Linda Miller,Employer,7118535675,988 Main Road,797
34,165,Joseph Moore,Father,6561753985,816 MG Road,699
35,932,David Thomas,Mother,9535362430,379 MG Road,629
36,673,Elizabeth Jackson,Friend,6206635372,689 Main Road,743
37,64,Joseph Wilson,Friend,7143750464,497 MG Road,450
38,279,Michael Martinez,Business Partner,9168732528,415 Bazar,525
39,269,Thomas Hernandez,Spouse,8546018714,467 Main Road,409
40,703,David Thomas,Employer,8247766059,857 MG Road,325
41,322,Thomas Davis,Mother,7813642211,657 Bazar,782
42,652,Linda Gonzalez,Father,7864583136,979 MG Road,360
43,73,Joseph Martin,Employer,8712537067,159 Bazar,392
44,768,Mary Martin,Spouse,8679357799,182 Main Road,549
45,909,Linda Garcia,Employer,7427431572,640 Bazar,684
46,844,Sarah Davis,Spouse,7366878786,120 MG Road,737
47,866,John Johnson,Friend,7485490270,94 Main Road,396
48,222,Thomas Jones,Mother,6708002948,426 MG Road,501
49,389,David Taylor,Employer,6985432160,837 Main Road,695
50,867,Mary Hernandez,Mother,6142692704,740 Main Road,444
51,910,David Jones,Friend,9515638658,695 Main Road,378
52,755,Michael Taylor,Employer,7606901278,94 Main Road,815
53,411,Charles Martinez,Father,8632641634,306 Bazar,776
54,906,John Taylor,Employer,9435661827,141 Bazar,382
55,651,Joseph Moore,Father,9859639554,786 Main Road,701
56,430,Patricia Lopez,Spouse,7535584592,721 Bazar,308
57,674,Susan Brown,Employer,7894530548,54 MG Road,382
58,221,Susan Hernandez,Father,6632685607,190 MG Road,364
59,432,Michael Lopez,Friend,7691675789,618 MG Road,545
60,415,Elizabeth Anderson,Mother,9661846144,701 Main Road,664
61,392,Sarah Rodriguez,Mother,9484195681,104 Bazar,475
62,133,Thomas Martin,Employer,7361544288,214 Main Road,557
63,838,Patricia Rodriguez,Mother,6158645927,97 Bazar,556
64,183,Richard Anderson,Mother,7715889544,198 MG Road,633
65,920,Patricia Lopez,Mother,6391455193,45 Bazar,569
66,663,Linda Smith,Employer,6120998415,299 Main Road,526
67,92,Mary Johnson,Mother,7391924996,625 MG Road,602
68,460,Barbara Martinez,Business Partner,9403957883,493 Main Road,389
69,477,Patricia Davis,Spouse,8424336393,330 MG Road,819
70,994,William Wilson,Employer,8982737156,106 Main Road,453
71,521,Elizabeth Thomas,Father,6618097939,463 MG Road,455
72,501,Jennifer Martinez,Father,8597999586,846 Bazar,798
73,552,Michael Davis,Mother,6906810822,57 Main Road,672
74,354,Karen Anderson,Friend,6298318854,248 Main Road,651
75,135,Robert Smith,Business Partner,9901911390,158 MG Road,754
76,636,Susan Brown,Business Partner,8104182101,468 Bazar,328
77,35,John Garcia,Employer,6197027170,565 Main Road,650
78,708,John Anderson,Mother,8792998219,605 Main Road,553
79,227,Patricia Williams,Employer,8193320307,586 Main Road,551
80,372,Elizabeth Johnson,Spouse,6594019354,694 Main Road,706
81,805,William Smith,Business Partner,9785968401,396 MG Road,649
82,406,Elizabeth Miller,Mother,9770309954,622 MG Road,350
83,524,Sarah Martin,Spouse,6043956627,823 Bazar,370
84,343,Jessica Garcia,Friend,7400462324,4 Main Road,553
85,928,Susan Garcia,Mother,8591113481,550 MG Road,465
86,337,James Lopez,Mother,8186185621,401 Main Road,495
87,96,Robert Miller,Spouse,8402981960,273 Bazar,571
88,158,Mary Jackson,Spouse,6400803694,537 Main Road,602
89,283,Susan Garcia,Father,7149894267,878 MG Road,615
90,346,Jessica Jackson,Friend,6802002295,459 MG Road,389
91,818,Linda Martin,Mother,9547136307,728 MG Road,410
92,659,Thomas Johnson,Employer,9719440251,793 Bazar,463
93,681,Charles Davis,Employer,6154990564,469 Main Road,519
94,542,David Anderson,Mother,8611847699,47 MG Road,439
95,87,Susan Hernandez,Father,9537834391,325 Main Road,737
96,656,Joseph Davis,Business Partner,6814830993,450 Main Road,374
97,50,Joseph Jones,Friend,8009295177,675 Bazar,796
98,746,Susan Hernandez,Business Partner,9159218377,621 Main Road,540
99,156,Elizabeth Wilson,Father,7580431969,680 Main Road,336
100,358,James Jones,Business Partner,6388404442,98 Bazar,440
